Director,Producer,Screenwriter,Distributor,Production Co,Rating,Genre,Original Language,Release Date (Theaters),Release Date (Streaming),Runtime,title,Sound Mix,Aspect Ratio,Box Office (Gross USA),Release Date (DVD),Rerelease Date (Theaters)
Errol Morris,"Errol Morris,Steven Hathaway,Stephen Cornwell,Dominic Crossley-Holland,Simon Cornwell",Errol Morris,Apple Original Films,"Storyteller Productions,Hero Squared,127 Wall,Fourth Floor Productions,The Ink Factory,Apple Original Films,Jago Films",PG-13 (Brief Language|Some Violence|Smoking),Documentary,English,"Oct 20, 2023, Limited","Oct 20, 2023",1h 34m,The Pigeon Tunnel,,,,,
Dave Meyers,Nathan Scherrer,"Jennifer Lopez,Matt Walton",Amazon MGM Studios,"Nuyorican Productions,Amazon MGM Studios",,Musical,English,,"Feb 16, 2024",1h 5m,This Is Me... Now: A Love Story,,,,,
Walt Dohrn,Gina Shay,"Jonathan Aibel,Glenn Berger,Maya Forbes,Wallace Wolodarsky,Elizabeth Tippet",Universal Pictures,"DreamWorks Animation,Dentsu",PG (Some Mild Rude Humor),"Kids & Family,Musical,Comedy,Adventure,Fantasy,Animation",English,"Apr 10, 2020, Limited","Apr 2, 2020",1h 31m,Trolls World Tour,Dolby Digital,Digital 2.39:1,,,
Ethan Stephens,,Ethan Stephens,,Progressing Productions,,Action,English,,"Dec 18, 2019",1h 35m,Assassin,,,,,
James D. Davis,,Fred Myers,,Snub Pollard Comedies,,Comedy,,"Nov 22, 1926, Limited",,20m,Fire,,Academy (1.33:1),,,
Mark Steven Johnson,"Rachael Leigh Cook,Margret H. Huddleston,Stephanie Slack,Dave Jordan,Dan Spilo","Hilary Galanoy,Elizabeth Hackett",,Off Camera Entertainment,,"Romance,Comedy",English,,"Sep 3, 2020",1h 30m,"Love, Guaranteed",,,,,
Matthew Heineman,"Matthew Heineman,Lauren Domino,Joedan Okun",,Netflix,"Higher Ground Productions,Our Time Projects,Mercury Studios",PG-13 (Some Strong Language),"Documentary,Music",English,"Nov 24, 2023, Limited","Nov 29, 2023",1h 40m,American Symphony,Dolby Digital,,,,
Adam Anders,"Brandt Andersen,Adam Anders,Ryan Busse,Stephen Meinen,Alan Powell,Steve Barnett","Adam Anders,Peter Barsocchini",Affirm Films,"SPACE + ART Entertainment,Affirm Films,Monarch Media,Anders Media,Story Collective",PG,"Kids & Family,Holiday,Musical",English,"Nov 10, 2023, Wide","Dec 8, 2023",1h 38m,Journey to Bethlehem,,,$6.8M,,
Luke Lorentzen,"Kellen Quinn,Daniela Alatorre",Luke Lorentzen,1091,"Hedgehog Films,No Ficción",,"Documentary,Action,Crime,Drama",Spanish,"Dec 6, 2019, Limited","Mar 3, 2020",1h 21m,Midnight Family,,,$40.5K,,
Matt Greene-DeLanghe,"Jason Armstrong,Rob Goodrich,Ellyn Vander Wyden",Matt Greene-DeLanghe,Deep C Digital,Walk Like a Duck Entertainment,,Drama,English,,"May 7, 2024",1h 25m,Skelly,,,,,
Jeff Wadlow,"Rick Alvarez,Nathan Talbert Reimann,Marlon Wayans","Todd Berger,Robert Rugan,John R. Morey",Netflix,Ugly Baby Productions,,"Kids & Family,Holiday,Comedy",English,,"Oct 14, 2022",1h 29m,The Curse of Bridge Hollow,,,,,
James Bird,"Steven Paul,Scott Karol,Christine Holder,Mark Holder",James Bird,Paramount Pictures,"SP Media Group,Wonder Street",R (Sexual Content|Nudity|Language|Violence),"Sci-Fi,Mystery & Thriller",English,"Aug 12, 2022, Limited","Aug 12, 2022",1h 46m,Wifelike,,,,,
"Conrad Vernon,Greg Tiernan","Gail Berman,Conrad Vernon,Alex Schwartz,Alison O'Brien",Matt Lieberman,Metro-Goldwyn-Mayer,"Metro Goldwyn Mayer,BermanBraun",PG (Some Action|Macabre and Suggestive Humor),"Kids & Family,Comedy,Animation",English,"Oct 11, 2019, Wide","Oct 11, 2019",1h 27m,The Addams Family 2,Dolby Atmos,Flat (1.85:1),$673.0K,,
Janus Metz,"Steve Schwartz,Paula Mae Schwartz,Nick Wechsler,Matt Jackson",Olen Steinhauer,Amazon Studios,"Entertainment One,Big Indie Pictures,Jackson Pictures,The Mark Gordon Company,Barry Linen Motion Pictures,Nick Wechsler Productions,Amazon Studios,Chockstone Pictures,Churchill Films",R,Mystery & Thriller,English,"Apr 8, 2022, Limited","Apr 8, 2022",1h 41m,All the Old Knives,,,,,
Toby Meakins,"John Zois,Sébastien Raybaud,Matthew James Wilkinson",Simon Allen,,"Anton,Stigma Films",,"Horror,Mystery & Thriller",English,,"Apr 15, 2022",1h 25m,Choose or Die,Dolby Digital,Scope (2.35:1),,,
Jen Zaborowski,,Heather McMahan,Hulu,,,"Comedy,Stand-Up",English,,"Oct 11, 2024",1h 4m,Heather McMahan: Breadwinner,,,,,
Bo Burnham,Josh Senior,Bo Burnham,,,,"Comedy,Stand-Up",English,,"May 30, 2021",1h 27m,Bo Burnham: Inside,,,,,
Lou Jeunet,"Olivier Delbosc,Christine De Jekel,Emilien Bignon","Lou Jeunet,Raphaëlle Desplechin",Film Movement,"Curiosa Films,Playtime",,"History,Drama",French (France),"Aug 13, 2021, Limited","Aug 13, 2021",1h 47m,Curiosa,,,,,
,,,Netflix,,,"Comedy,Stand-Up",English,,"Aug 3, 2024",,Joe Rogan: Burn the Boats,,,,,
"Pippa Ehrlich,James Reed",Craig Foster,"Pippa Ehrlich,James Reed",,"A Netflix Original Documentary,The Sea Change Project,Off the Fence",,Documentary,English,,"Sep 7, 2020",1h 25m,My Octopus Teacher,,,,,
John Schmidt,John Shepherd,"Robert Pierce,Patrick Egan",,Dean River Productions,PG,Drama,English,,"Jan 6, 2019",1h 38m,The Climb,,,$78.7K,,
Elegance Bratton,"Chester Algernal Gordon,Effie Brown",Elegance Bratton,A24,"Freedom Principle,Doco Digital,Gamechanger Films",R (Sexual Content|Language Throughout|Some Nudity|Violence),"Drama,LGBTQ+",English,"Dec 2, 2022, Wide","Dec 22, 2022",1h 34m,The Inspection,,,$261.0K,,
Iván Noel,Iván Noel,"Iván Noel,Henry James",,Noel Films,,Horror,Spanish,,,1h 55m,The Tutor,,,,,
Lena Dunham,"Tim Bevan,Eric Fellner,Jo Wallett",Lena Dunham,Amazon Studios,"Good Thing Going,Working Title Films",PG-13,"Adventure,Comedy,Drama",English,"Sep 23, 2022, Limited","Oct 7, 2022",1h 48m,Catherine Called Birdy,,,,,
Luke Cormican,Jeff Kinney,Jeff Kinney,Disney+,"Walt Disney Pictures,Twentieth Century Animation,Bardel Entertainment",PG (Mild Rude Humor),"Kids & Family,Holiday,Comedy,Animation,Drama",English,,"Dec 8, 2023",1h 4m,Diary of a Wimpy Kid Christmas: Cabin Fever,Dolby Digital,,,,
"Quentin Tarantino,Robert Rodriguez","Robert Rodriguez,Quentin Tarantino,Elizabeth Avellan,Erica Steinberg","Quentin Tarantino,Robert Rodriguez",Weinstein Co.,"A Band Apart,Troublemaker Studios,Weinstein Company",R (Gore|Drug Use|Strong Graphic Bloody Violence|Nudity|Pervasive Language|Some Sexuality),"Action,Horror",English,"Apr 6, 2007, Wide","May 2, 2021",3h 11m,Grindhouse,"Dolby SRD,DTS,SDDS",Scope (2.35:1),$25.0M,,
Renny Harlin,"Mansoor Al Dhaheri,Kia Jam,Dean Altit","Kurt Wimmer,Robert Henny",The Avenue,"The Misfits Project,K. JAM Media ,RNG Entertainment,FilmGate Productions,Highland Film Group (HFG)",R (Sexual References|Brief Drug Use|Some Language),"Action,Mystery & Thriller",English,"Jun 11, 2021, Limited","Jun 15, 2021",1h 34m,The Misfits,,,,,
T.W. Peacocke,David Anselmo,Cara J. Russell,,"Hideaway Pictures,Motion Picture Corporation of America (MPCA),Hp Catering Christmas Productions",,"Holiday,Romance,Comedy",English,,"Nov 1, 2022",1h 25m,Catering Christmas,,,,,
Todd Haynes,"Christine Vachon,Lauren Zalaznick",Todd Haynes,"Sony Pictures Classics,Columbia Tristar,Columbia TriStar Home Video","Killer Films,Good Machine,American Playhouse Theatrical Films,American Playhouse",R,Drama,English,"Jun 23, 1995, Original","May 16, 2020",1h 59m,Safe,,,$15.8K,,
Joe Begos,"Joe Begos,Josh Ethier",Joe Begos,Shudder / RLJE Films,Channel 83 Films,,"Holiday,Horror,Mystery & Thriller",English,"Dec 9, 2022, Limited","Dec 9, 2022",1h 27m,Christmas Bloody Christmas,,Scope (2.35:1),$251.6K,,
Ernie Barbarash,Amy Krell,"Gregg Rossen,Brian Sawyer,Alex Wright",,"Brad Krevoy Television,Cattleya",TV-G,"Holiday,Romance,Drama",English,,"Oct 25, 2020",1h 28m,Christmas in Rome,,,,,
Neil Burger,"Basil Iwanyk,Neil Burger,Brendon Boyea",Neil Burger,Lionsgate Films,"Stillking Films,Icon Films,AGC Studios,Freecs Films,Thunder Road Pictures,Fibonacci Films,Ingenious Media",PG-13 (Bloody Images|A Sexual Assault|Brief Strong Language|Some Strong Sexuality|Violence),"Sci-Fi,Mystery & Thriller,Adventure",English,"Apr 9, 2021, Wide","Apr 28, 2021",1h 48m,Voyagers,Dolby Atmos,Scope (2.35:1),,,
Micheal Bafaro,,"Micheal Bafaro,Warren Low",,,R,Mystery & Thriller,English,,,1h 34m,Barber,,,,,
Mathieu Turi,"Julien Deris,David Gauquié,Eric Gendarme,Sandra Karim,Thomas Lubeau",Mathieu Turi,Gravitas Ventures,"Alba Films,Equitime,SG Image 2018,Ynnis Interactive,Cinéfrance Studios,Cinéaxe,Fulltime Studio,WTFilms,OCS",,"Horror,Sci-Fi,Action",French (France),"Jul 9, 2021, Limited","Jul 9, 2021",1h 31m,Meander,,,,,
Dan Gabriel,Matt Schrader,"Dan Gabriel,Mike Tucker",Gravitas Ventures,"WebStringers,Two Rivers Pictures,Epicleff Media",,Documentary,English,"Apr 12, 2019, Limited","May 14, 2019",1h 26m,Mosul,,,,,
Anya Adams,,Anthony Lombardo,Disney+,"Walt Disney Pictures,Rotten Eggs Productions,The Detective Agency",,"Kids & Family,Romance,Comedy",English,,"Mar 31, 2023",1h 39m,Prom Pact,Dolby Digital,,,,
Amanda Raymond,"Carlo Glorioso,Cory Okouchi",Jenna St. John,Epic Pictures,,,"Kids & Family,Adventure,Comedy",English,"Sep 6, 2024, Limited","Sep 10, 2024",1h 30m,Stinky Summer,,,,,
Jeff Fisher,"Brad Krevoy,David M. Wulf",Chris Sivertson,Republic Pictures,Motion Picture Corporation of America,R (Language Throughout|Some Violence|Sexual Content/Nudity),Mystery & Thriller,English,"May 10, 2024, Limited","May 10, 2024",1h 34m,The Image of You,,,,,
"Colby Holt,Sam Probst","Mark Goldberg,Stephen Stanley,Kevin Greene",Colby Holt,VMI Releasing,"The Story Lab,Ganymede Film,Neighborhood Pictures,Iris Indie International,Whiskey Stream ProductionsDistributors",,"Horror,LGBTQ+,Mystery & Thriller",English,,"Aug 6, 2024",1h 38m,Ganymede,,,,,
Lisanne Skyler,"Laura Gabbert,George LaVoo","Joyce Carol Oates,Lisanne Skyler,Tristine Skyler","Cineville International,The Sundance Channel","SearchParty Films,ShadowCatcher Entertainment",,Drama,English,"Jan 22, 1999, Original",,1h 36m,Getting to Know You,,,,,
Sigge Eklund,"Stefan H. Lindén,Alexandra Thönnersten",Michaela Hamilton,Netflix,SF Studios,,Drama,Swedish,,"May 31, 2024",1h 39m,A Part of You,,,,,
Oran Zegman,Michael Lewen,David A. Goodman,,Awesomeness Films,TV-MA,Comedy,English,,"Jul 29, 2022",1h 37m,Honor Society,Dolby Digital,,,,
Anton Corbijn,"Anne Carey,Jill Green,Ann Wingate,Grant Heslov,George Clooney",Rowan Joffe,Focus Features,"This Is That Productions,Smoke House,Greenlit Productions",R (Sexual Content|Nudity|Violence),"Mystery & Thriller,Drama,Action",English,"Sep 1, 2010, Wide","Aug 14, 2015",1h 45m,The American,"Dolby Digital,DTS",,$35.6M,,
Chris Palmer,"James Krieg,Kimberly S. Moreau",Tim Sheridan,,,PG-13 (Some Smoking|Language|Bloody Images|Violence),"Holiday,Action,Adventure,Animation",English,,"Jun 22, 2021",1h 25m,"Batman: The Long Halloween, Part One",,,,,
Pierre De Moro,"Billy Fine,Lou Arkoff",Aaron Butler,,"Arkoff International,Hellhole Productions",R,Horror,English,"Mar 15, 1985, Limited","Aug 2, 2016",1h 35m,Hellhole,,,,,
Joseph Sorrentino,"Lee Broda,Brian Mercer,Andreas Schilling,Joseph Sorrentino,Jerry Tankersley,Seth Willenson",Joseph Sorrentino,Cinedigm,"LB Entertainment,Ten Past Nine Productions",,Mystery & Thriller,English,"Oct 7, 2022, Limited","Oct 7, 2022",1h 37m,MK Ultra,,,,,
Edgar G. Ulmer,Arthur S. Lyons,"Dayton Stoddart,Alvah Bessie,S.K. Lauren,Gordon Kahn",,Eagle-Lion Films Inc.,,Drama,English,"Apr 16, 1948, Original",,1h 44m,Ruthless,,,,"Sep 11, 2007",
Yoon Woong-dae,,,,CMnix,,Drama,Korean,,,41m,Longing,,,,,
Kieron Hawkes,"Danny Potts,Leo Pearlman",Kieron Hawkes,,,,Mystery & Thriller,English,,"Aug 12, 2014",1h 46m,Piggy,,,,,
Kamal Tabrizi,Javad Noruzbegi,Aidin Sayar Sarie,,,,"Comedy,Drama",Persian,"May 17, 2019, Limited",,1h 30m,Sly,,Scope (2.35:1),,,
Sopon Sukdapisit,,,,Jor Kwang Films,,"Drama,Horror",Thai,,"Nov 19, 2016",1h 55m,The Swimmers,,,,,
Jonathan A. Rosenbaum,Jon Kuyper,"Cory Edwards,Jim Martin,Stephen Mazur",Netflix,"Universal Animation Studios,Universal 1440 Entertainment,Illumination Entertainment,DreamWorks Animation,Cinemotion",,"Kids & Family,Comedy,Animation",English,,"Apr 12, 2024",1h 40m,Woody Woodpecker Goes to Camp,,,,,
Sam Mendes,"Pippa Harris,Sam Mendes",Sam Mendes,Searchlight Pictures,"Searchlight Pictures,Neal Street Productions",R (Language|Brief Violence|Sexual Content),"Romance,Drama",English,"Dec 9, 2022, Wide","Feb 7, 2023",1h 59m,Empire of Light,Dolby Digital,Scope (2.35:1),$1.2M,,
Tom Whitus,"Tom Whitus,Kevin Avery",Tom Whitus,,Silver Hills Pictures,,Drama,English,,"Apr 11, 2021",1h 20m,End of the Road,,,,,
Martin Wood,"Brad Krevoy,Steven R. McGlothen","Gregg Rossen,Brian Sawyer",,Netflix Studios,,"Holiday,Romance,Comedy",English,,"Nov 5, 2020",1h 35m,Operation Christmas Drop,,,,,
Cal Brunker,Jennifer Dodge,"Billy Frolick,Cal Brunker,Bob Barlen",Paramount Pictures,"Paramount Animation,Paramount Pictures,Spin Master Entertainment,Nickelodeon Movies,Nickelodeon Animation Studios",G,"Kids & Family,Comedy,Adventure,Action,Animation",English,"Aug 20, 2021, Wide","Aug 20, 2021",1h 25m,PAW Patrol: The Movie,,Scope (2.35:1),$40.0M,,
Stefan Puente,"Paul Luba,Stefan Puente",Paul Luba,,,,"Drama,Mystery & Thriller",English,"Apr 21, 2020, Limited",,13m,Unlocked,,,,,
Sean King O'Grady,"Bill Stertz,Josh Malerman,Ryan Lewis,Peter Block",Max Booth III,IFC Midnight,"Spin a Black Yarn,A Bigger Boat,Hantz Motion Pictures,Atlas Industries",,Horror,English,"Sep 3, 2021, Limited","Sep 3, 2021",1h 37m,We Need to Do Something,,,$12.4K,,
Karen Maine,"Katie Cordeal,Colleen Hammond,Eleanor Columbus,Rodrigo Teixeira",Karen Maine,Vertical Entertainment,"Maiden Voyage Films,RT Features",R (Some Nudity|Sexual Content),Comedy,English,"Jul 24, 2020, Limited","Jul 28, 2020",1h 18m,"Yes, God, Yes",,,,,
George Cukor,"James C. Katz,Jack L. Warner",Alan Jay Lerner,Warner Bros. Pictures,Warner Brothers,G,Musical,English,"Oct 21, 1964, Limited","Nov 9, 2020",2h 50m,My Fair Lady,"Mono,Dolby Digital,DTS",,$447.6K,,
Matt Sconce,"Christopher Mejia,Matt Sconce","Matt Sconce,Christopher Mejia",,"Movie Heroes Studios,Plus Ultra Pictures",R,"Mystery & Thriller,Drama",English,,"Mar 8, 2022",1h 34m,The Girl on the Mountain,,,,,
Evan Morgan,"Jonathan Bronfman,William Woods",Evan Morgan,"Stage 6,Sony Pictures Entertainment","Woods Entertainment,JoBro Productions & Film Finance",R (Drug Use|Brief Nudity|Language|Some Sexual References|Violence),Comedy,English,"Oct 16, 2020, Limited","Nov 21, 2020",1h 39m,The Kid Detective,,Scope (2.35:1),$363.2K,,
Rob Zombie,"Rob Zombie,Mike Elliott",Rob Zombie,,"Universal 1440 Entertainment,Hero Squared",PG (Scary Images|Macabre & Suggestive Material|Language),"Kids & Family,Comedy,Fantasy",English,,"Sep 27, 2022",1h 50m,The Munsters,Dolby Digital,,,,
Anvita Dutt,Anushka Sharma,"Anvita Dutt,Anvita Dutt Guptan",,Clean Slate Films,,"Horror,Mystery & Thriller",Hindi,,"Jun 24, 2020",1h 34m,Bulbbul,,,,,
Larry Charles,"Peter Chernin,Kori Adelson,Larry Charles","Aaron Jackson,Josh Sharp",A24,Chernin Entertainment,R (Graphic Nudity|Brief Drug Use|Pervasive Language|Strong Crude Sexual Content),"Musical,Comedy",English,"Oct 20, 2023, Wide","Nov 10, 2023",1h 26m,Dicks: The Musical,,,$1.2M,,
Michael Caton-Jones,Brian Coffey,Michael Caton-Jones,,"Sigma Films,Sony Pictures International",R (Sexual Content|Language Throughout|Brief Graphic Nudity|Teen Drinking and Drug Use),"Comedy,Drama",British English,,"Nov 16, 2021",1h 45m,Our Ladies,,,$21.4K,,
Pascual Sisto,"Elika Portnoy,Alex Orlovsky,Michael Bowes",Nicolás Giacobone,,"IFC Films,Mutressa Movies,3311 Productions",R (Language),"Mystery & Thriller,Drama",English,"Aug 6, 2021, Limited","Aug 6, 2021",1h 44m,John and the Hole,,,$25.0K,,
David Fincher,"Ceán Chaffin,David Fincher,Eric Roth,Douglas Urbanski",Jack Fincher,Netflix,Netflix,R (Some Language),"Biography,Comedy,Drama",English,"Nov 13, 2020, Limited","Dec 4, 2020",2h 12m,Mank,,,,,
Brady Hall,"Ed Dougherty,Tarek Kutrieh,Chris Sergi","Ed Dougherty,Brady Hall",,GMMG Films,,Drama,English,,"Apr 2, 2015",1h 25m,Scrapper,,,,,
Judd Apatow,"Barry Mendel,Judd Apatow","Judd Apatow,Pete Davidson,Dave Sirus",,"Apatow Productions,Universal Pictures,Perfect World Pictures",R (Language|Drug Use Throughout|Sexual Content|Some Violence/Bloody Images),"Comedy,Drama",English,,"May 28, 2020",2h 17m,The King of Staten Island,,Scope (2.35:1),,,
"Matt Peters,Christina Sotta",Amy McKenna,Ernie Altbacker,,Warner Bros. Animation,R (Some Sexual References|Language|Bloody Violence),"Action,Adventure,Animation",English,,"May 5, 2020",1h 30m,Justice League Dark: Apokolips War,,,,,
John Ridley,"Elizabeth Haggard,Regina King,Reina King,Anikah McLaren,John Ridley",John Ridley,Netflix,"Participant,BCD Travel,Royal Ties Productions",PG-13 (Some Smoking|Racial Slurs|Brief Violence|Strong Language),"Drama,Biography",English,"Mar 15, 2024, Limited","Mar 22, 2024",1h 57m,Shirley,,,,,
Alice Maio Mackay,"Alice Maio Mackay,Erin Paterson","Alice Maio Mackay,Benjamin Pahl Robinson",Dark Star Pictures,One Manner Productions,,"Horror,LGBTQ+",English,,"Mar 5, 2024",1h 15m,T-Blockers,,,,,
Christopher Ashley,"Bill Condon,Mark Gordon,Nick Meyer,Jennifer Todd","Irene Sankoff,David Hein",,"Alchemy Productons,eOne,RadicalMedia,Junkyard Dog Productions",,"Musical,Drama,Comedy",English,,"Sep 10, 2021",1h 46m,Come From Away,,,,,
Sylvia Caminer,"Dani Barker,Sylvia Caminer,Michael Indjeian",Dani Barker,Quiver Distribution,"Max Freedman Media,Classified Films,MFM Productions,Dolger Films",,"Mystery & Thriller,Horror",English,"Jun 2, 2023, Limited","Jun 2, 2023",1h 32m,Follow Her,,,,,
Jeff Hall,,,,High Octane Pictures,,Mystery & Thriller,English,,"Aug 7, 2018",1h 30m,It Lives Inside,,,,,
Ron Howard,"Brian Grazer,Ron Howard,Sara Bernstein,Margaret Bodde,Justin Wilkes,Mark Monroe,Christopher St. John",Mark Monroe,Disney+,"Disney Original Documentary,The Jim Henson Company,Imagine Documentaries",,"Documentary,Biography",English,"May 24, 2024, Limited","May 31, 2024",1h 51m,Jim Henson Idea Man,,,,,
Gia Coppola,"Fred Berger,Gia Coppola,Lauren Bratman,Andrew Garfield,Siena Oberman,Jack Heller,Alan Terpins,Enrico Saraiva,Francisco Rebelo de Andrade,Zac Adams","Tom Stuart,Gia Coppola",IFC Films,"Paint Night Productions,Automatik Entertainment,American Zoetrope,Assemble Media,TUGAWOOD Pictures,Artemis Film,Dynasty Pictures (II)",R (Some Graphic Nudity|Pervasive Language),"Comedy,Drama",English,"May 7, 2021, Limited","May 7, 2021",1h 34m,Mainstream,,Scope (2.35:1),$35.5K,,
Christian Sparkes,"William Woods,Allison White","William Woods,Albert Shin",Vertical,"Woods Entertainment,Sara Fost Pictures,Tip-Top Productions",,"Drama,Mystery & Thriller,Fantasy",English,"Aug 16, 2024, Limited","Aug 16, 2024",1h 40m,The King Tide,,,,,
Amanda Nell Eu,"Foo Fei Ling,Fran Borgia,Juliette Lepoutre,Pierre Menahem,Jonas Weydemann,Ellen Havenith,Fei Ling Foo,Patrick Mao Huang,Yulia Evina Bhara",Amanda Nell Eu,Dark Star Pictures,Akanga Film Productions,,Horror,Malay,"Jun 14, 2024, Limited","Jul 9, 2024",1h 35m,Tiger Stripes,Dolby Digital,Flat (1.85:1),,,
Richard Brooks,Richard Brooks,Richard Brooks,United Artists,Pax Enterprises,R (Brief Nudity|Some Substance Abuse),Drama,English,"Dec 21, 1969, Original","Aug 5, 2018",1h 52m,Happy Ending,,,,,
Alex Pillai,Matt Williams,"Alexander J. Farrell,Greer Ellison",Amazon Studios,Future Artists Entertainment,,"Romance,Comedy",British English,,"Apr 5, 2024",1h 40m,How to Date Billy Walsh,,,,,
Daniel Petrie,"Paul Brown,Jon Slan,Daniel Petrie",,,,,Drama,English,,,1h 46m,The Assistant,,,,,
Bradley Parker,"Alejandro De Leon,Diego Hallivis,Julio Hallivis,Andres Rosende","Stefan Jaworski,Eric Scherbarth",Vertical Entertainment,1inMM Productions,,"Horror,Mystery & Thriller",English,"Mar 5, 2021, Limited","Mar 5, 2021",1h 28m,The Devil Below,,,,,
Paolo Sorrentino,"Lorenzo Mieli,Paolo Sorrentino",Paolo Sorrentino,Netflix,"Film Commission Regione Campania,The Apartment Pictures,Regione Campania,Netflix",R (Language|Brief Drug Use|Sexual Content|Some Graphic Nudity),Drama,Italian,"Dec 3, 2021, Limited","Dec 15, 2021",2h 10m,The Hand of God,,,,,
Marius Vaysberg,"Marina Bespalov,Sergei Bespalov,Marius Vaysberg,Vincent Newman,Sergey Livnev",Tiffany Paulsen,United Artists Releasing,"Aldamisa Entertainment,Vincent Newman Entertainment,Contentious Media",R (A Sexual Reference|Some Language),"Holiday,Romance,Comedy",English,"Sep 9, 2022, Wide","Sep 9, 2022",1h 40m,About Fate,,,$6.1K,,
Akiva Schaffer,"David Hoberman,Todd Lieberman","Dan Gregor,Doug Mand",,Mandeville Films,PG (Rude/Suggestive Humor|Mild Action),"Kids & Family,Comedy,Adventure",English,,"May 20, 2022",1h 36m,Chip 'n' Dale: Rescue Rangers,"Dolby Digital,Dolby Atmos",,,,
Tommy Wiseau,,Tommy Wiseau,"Wiseau-Films,Chloë Productions,TPW Films","Chloe Productions,Wiseau-Films,TPW Films",R (Brief Violence|Sexuality|Language),Drama,English,"Jun 27, 2003, Limited",,1h 39m,The Room,,,,,
Marcos Carnevale,"Martín Kweller,Rocío Gort,Ignacio Rey",,Netflix,,,"Romance,Comedy,Drama",Spanish,,"Jul 5, 2024",1h 46m,Goyo,,,,,
John Trengove,"Gina Gammell,Ben Giladi,Riley Keough,Ryan Zacarias",John Trengove,Lionsgate,"Felix Culpa,Pulse Films,Riverside Entertainment,Capstone Studios,Liminal Content",R,"Mystery & Thriller,Drama",British English,"Nov 10, 2023, Limited","Nov 17, 2023",1h 36m,Manodrome,,Flat (1.85:1),,,
G. Patrick Currie,"Michelle Morris,Yogi Omar,Michelle Picard","G. Patrick Currie,Brendee Green",,"Crazy8s Film Society,Lily Pictures",,"Romance,Comedy,LGBTQ+",English,,,16m,Meet Cute,,,,,
Cullen Hoback,"Cullen Hoback,Alina Solodnikova,Jessie Deeter,Scott Holroyd",,Max,,,"Crime,Documentary",English,"Oct 8, 2024, Limited","Oct 8, 2024",1h 40m,Money Electric: The Bitcoin Mystery,,,,,
"Lisa Barros D'Sa,Glenn Leyburn","Brian J. Falconer,David Holmes,Piers Tempest",Owen McCafferty,Bleecker Street Media,"Canderblinks Films ,Head Gear Films,Out of Orbit",R (Brief Sexuality/Nudity),"Drama,Romance",British English,"Feb 14, 2020, Limited","May 5, 2020",1h 31m,Ordinary Love,,Scope (2.35:1),$321.4K,,
Mike Barker,"Pierce Brosnan,William Vince",William Morrissey,,"Icon Productions,Chum Television,Irish DreamTime",R (Violence|Some Language),"Mystery & Thriller,Crime,Drama",English,,"Nov 3, 2014",1h 38m,Shattered,Dolby Digital,,,,
Jon Keeyes,"Jordan Yale Levine,Jordan Beckerman,Michael J. Rothstein,Richard Bolger,Conor Barry,Richard Clabaugh,Stephen Braun,Kurt Ebner",Matthew Rogers,Saban Films,"Yale Productions,Hail Mary Pictures",R (Violence|Pervasive Language|Drug Use),"Mystery & Thriller,Crime",English,,"Aug 20, 2024",1h 35m,The Clean Up Crew,,,,,
Robert Schwartzman,"Russell Wayne Groves,Robert Schwartzman,Brett Ryland",Brett Ryland,Fathom Events,The Ranch Productions,,"Comedy,Drama",English,"Jul 23, 2024, Limited","Sep 3, 2024",1h 40m,The Good Half,,,,,
"Veronika Franz,Severin Fiala",Ulrich Seidl,"Veronika Franz,Severin Fiala",Radius TWC,Ulrich Seidl Film Produktion GmbH,R (Some Nudity|Disturbing Violent Content),"Horror,Mystery & Thriller",German,"Sep 11, 2015, Limited","Mar 28, 2017",1h 40m,Goodnight Mommy,,,$1.2M,,
Bren Foster,"Navid Bahadori,Bren Foster,Mario Lendvai,Chelsea Foster,Elena Arena",Bren Foster,Vertical,,,"Action,Drama,Mystery & Thriller",English,"Jun 7, 2024, Limited","Jun 7, 2024",2h 0m,Life After Fighting,,,,,
Chris Appelhans,"Chris Bremble,Jackie Chan,Aron Warner",Chris Appelhans,,"The Monk Studio,Sony Pictures Animation,Tencent Pictures,Beijing Sparkle Roll Media Corporation",PG (Mild Action and Rude Humor),"Kids & Family,Comedy,Adventure,Fantasy,Animation",English,,"Jun 11, 2021",1h 38m,Wish Dragon,"Dolby Atmos,Dolby Digital",Flat (1.85:1),,,
Nida Manzoor,"Tim Bevan,Eric Fellner,Olivier Kaempfer,John Pocock",Nida Manzoor,Focus Features,"Focus Features,Working Title Films,Parkville Pictures",PG-13 (Some Partial Nudity|Sexual Material|Strong Language|Violence),"Action,Comedy",English,"Apr 28, 2023, Limited","May 16, 2023",1h 43m,Polite Society,,Digital 2.39:1,$1.5M,,
Elaine Bogan,Karen Foster,"Aury Wallington,Kristin Hahn",Universal Pictures,DreamWorks Animation,PG (Some Adventure Action),"Kids & Family,Adventure,Animation",English,"Jun 4, 2021, Wide","Jun 25, 2021",1h 28m,Spirit Untamed,"Dolby Atmos,Dolby Digital,DTS",Scope (2.35:1),$17.6M,,
Mary Sexton,Mary Sexton,Mary Sexton,,Sony Pictures Classics,,Comedy,English,,,1h 45m,Violet,,,,,
